[2014-05-27 13:14:39.540431][NOTICE] "Undefined variable: terminalCode" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TransactionSummaryModel.php Line: 359
[2014-05-27 13:14:39.540635][NOTICE] "Undefined variable: terminalCode" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TransactionSummaryModel.php Line: 359
[2014-05-27 16:47:44.677838][ERROR] "Unknown column 'DateCuttOff' in 'where clause'" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/SiteGrossHoldCuttOffModel.php LINE: 8
[2014-05-27 16:49:27.546223][ERROR] "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'AS  FROM tickets WHERE DateCreated >= ? 
            AND DateCreated < ?' at line 1" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TicketsModel.php LINE: 34
[2014-05-27 16:49:44.711187][ERROR] "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'AS  FROM tickets WHERE DateCreated >= ? 
            AND DateCreated < ?' at line 1" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TicketsModel.php LINE: 34
[2014-05-27 18:30:35.736603][ERROR] "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'AS  FROM tickets WHERE DateCreated >= ? 
            AND DateCreated < ?' at line 1" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TicketsModel.php LINE: 34
[2014-05-27 18:32:13.662292][ERROR] "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'AS  FROM tickets WHERE DateCreated >= ? 
            AND DateCreated < ?' at line 1" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TicketsModel.php LINE: 35
[2014-05-27 18:33:41.959171][ERROR] "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'AS  FROM tickets WHERE DateCreated >= ? 
            AND DateCreated < ?' at line 1" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TicketsModel.php LINE: 36
[2014-05-27 18:37:00.167897][ERROR] "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'AS  FROM tickets WHERE DateCreated >= ? 
            AND DateCreated < ?' at line 1" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TicketsModel.php LINE: 36
[2014-05-27 18:37:57.61289][NOTICE] "Undefined index: DU" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TicketsModel.php Line: 45
[2014-05-27 18:37:57.62643][NOTICE] "Undefined index: DE" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TicketsModel.php Line: 53
[2014-05-27 18:39:46.67657][NOTICE] "Undefined index: DU" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TicketsModel.php Line: 45
[2014-05-27 18:39:46.69198][NOTICE] "Undefined index: DE" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TicketsModel.php Line: 53
[2014-05-27 18:39:49.229903][NOTICE] "Undefined index: startlimit" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/controllers/ReportsController.php Line: 56
[2014-05-27 18:39:49.243290][NOTICE] "Undefined variable: terminalCode" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TransactionSummaryModel.php Line: 359
[2014-05-27 18:39:49.243743][NOTICE] "Undefined variable: terminalCode" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TransactionSummaryModel.php Line: 359
[2014-05-27 18:39:49.243957][NOTICE] "Undefined variable: terminalCode" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TransactionSummaryModel.php Line: 359
[2014-05-27 18:39:49.243957][NOTICE] "Undefined variable: terminalCode" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TransactionSummaryModel.php Line: 359
[2014-05-27 18:39:49.244222][NOTICE] "Undefined variable: terminalCode" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TransactionSummaryModel.php Line: 359
[2014-05-27 18:39:49.244450][NOTICE] "Undefined variable: terminalCode" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TransactionSummaryModel.php Line: 359
[2014-05-27 18:39:49.244727][NOTICE] "Undefined variable: terminalCode" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TransactionSummaryModel.php Line: 359
[2014-05-27 18:39:49.244964][NOTICE] "Undefined variable: terminalCode" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TransactionSummaryModel.php Line: 359
[2014-05-27 18:39:49.245215][NOTICE] "Undefined variable: terminalCode" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TransactionSummaryModel.php Line: 359
[2014-05-27 18:39:49.245457][NOTICE] "Undefined variable: terminalCode" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TransactionSummaryModel.php Line: 359
[2014-05-27 18:39:49.245721][NOTICE] "Undefined variable: terminalCode" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TransactionSummaryModel.php Line: 359
[2014-05-27 18:39:49.245961][NOTICE] "Undefined variable: terminalCode" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TransactionSummaryModel.php Line: 359
[2014-05-27 18:39:49.246220][NOTICE] "Undefined variable: terminalCode" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TransactionSummaryModel.php Line: 359
[2014-05-27 18:39:49.260174][ERROR] "Unknown column 'DateCuttOff' in 'where clause'" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/SiteGrossHoldCuttOffModel.php LINE: 8
[2014-05-27 18:40:35.785308][NOTICE] "Undefined index: DU" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TicketsModel.php Line: 45
[2014-05-27 18:40:35.786779][NOTICE] "Undefined index: DE" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TicketsModel.php Line: 53
[2014-05-27 18:40:40.347630][NOTICE] "Undefined index: startlimit" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/controllers/ReportsController.php Line: 56
[2014-05-27 18:40:40.355138][NOTICE] "Undefined variable: terminalCode" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TransactionSummaryModel.php Line: 359
[2014-05-27 18:40:40.355358][NOTICE] "Undefined variable: terminalCode" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TransactionSummaryModel.php Line: 359
[2014-05-27 18:40:40.355595][NOTICE] "Undefined variable: terminalCode" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TransactionSummaryModel.php Line: 359
[2014-05-27 18:40:40.355795][NOTICE] "Undefined variable: terminalCode" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TransactionSummaryModel.php Line: 359
[2014-05-27 18:40:40.355993][NOTICE] "Undefined variable: terminalCode" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TransactionSummaryModel.php Line: 359
[2014-05-27 18:40:40.357423][NOTICE] "Undefined variable: terminalCode" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TransactionSummaryModel.php Line: 359
[2014-05-27 18:40:40.357651][NOTICE] "Undefined variable: terminalCode" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TransactionSummaryModel.php Line: 359
[2014-05-27 18:40:40.357851][NOTICE] "Undefined variable: terminalCode" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TransactionSummaryModel.php Line: 359
[2014-05-27 18:40:40.358045][NOTICE] "Undefined variable: terminalCode" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TransactionSummaryModel.php Line: 359
